X Start,Step Size,X Max,Y Max,Num Iterations
0,0.01,0,1.44269504089,51
0,0.02,0,1.44269504089,47
1,0.1,1.3877787807814457e-16,1.44269504089,26
1,0.01,0.009999999999999247,1.43238828715,123
2,0.01,0.00999999999999836,1.43238828715,211
2,0.02,0.019999999999998495,1.42227779756,111
3,0.01,3.5399999999999885,0.584025754119,658
3,0.03,3.5399999999999965,0.584025754119,174
4,0.02,3.5399999999999996,0.584025754119,239
4,0.01,3.54000000000001,0.584025754119,642
5,0.01,5.01,0.513453224468,239
5,0.02,5.02,0.51285237306,623
6,0.01,6.139999999999997,0.476919426533,236
6,0.02,6.139999999999997,0.476919426533,103
7,0.01,7.089999999999998,0.453067466402,143
7,0.03,7.090000000000001,0.453067466402,59
8,0.07,7.93,0.435470240537,25
8,0.01,7.9300000000000015,0.435470240537,451
9,0.01,8.680000000000007,0.422066355282,214
9,0.02,8.680000000000007,0.422066355282,102
10,0.01,10,0.388330897088,49
10,0.02,10,0.388330897088,31
