X Start,Step Size,X Max,Y Max,Num Iterations
0,0.01,0,1.44269504089,0
0,0.02,0,1.44269504089,0
1,0.1,1.3877787807814457e-16,1.44269504089,10
1,0.01,0.009999999999999247,1.43238828715,99
2,0.01,0.00999999999999836,1.43238828715,199
2,0.02,0.019999999999998495,1.42227779756,99
3,0.01,3.5399999999999885,0.584025754119,54
3,0.03,3.5399999999999965,0.584025754119,18
4,0.02,3.5399999999999996,0.584025754119,23
4,0.01,3.54000000000001,0.584025754119,46
5,0.01,5.01,0.513453224468,1
5,0.02,5.02,0.51285237306,1
6,0.01,6.139999999999997,0.476919426533,14
6,0.02,6.139999999999997,0.476919426533,7
7,0.01,7.089999999999998,0.453067466402,9
7,0.03,7.090000000000001,0.453067466402,3
8,0.07,7.93,0.435470240537,1
8,0.01,7.9300000000000015,0.435470240537,7
9,0.01,8.680000000000007,0.422066355282,32
9,0.02,8.680000000000007,0.422066355282,16
10,0.01,10,0.388330897088,0
10,0.02,10,0.388330897088,0
