X Start,Step Size,X Max,Y Max,Num Iterations
0,0.01,0,1.44269504089,0
0,0.02,0,1.44269504089,0
0,0.03,0,1.44269504089,0
0,0.04,0,1.44269504089,0
0,0.05,0,1.44269504089,0
0,0.06,0,1.44269504089,0
0,0.07,0,1.44269504089,0
0,0.08,0,1.44269504089,0
0,0.09,0,1.44269504089,0
0,0.1,0,1.44269504089,0
1,0.01,0.009999999999999247,1.43238828715,99
1,0.02,0.019999999999999383,1.42227779756,49
1,0.03,0.00999999999999937,1.43238828715,33
1,0.04,0.039999999999999654,1.40262283401,24
1,0.05,0.049999999999999684,1.39306740625,19
1,0.06,0.03999999999999959,1.40262283401,16
1,0.07,0.019999999999999518,1.42227779756,14
1,0.08,0.040000000000000174,1.40262283401,12
1,0.09,0.010000000000000259,1.43238828715,11
1,0.1,1.3877787807814457e-16,1.44269504089,10
2,0.01,0.00999999999999836,1.43238828715,199
2,0.02,0.019999999999998495,1.42227779756,99
2,0.03,0.019999999999998463,1.42227779756,66
2,0.04,0.039999999999998766,1.40262283401,49
2,0.05,0.049999999999998795,1.39306740625,39
2,0.06,0.01999999999999874,1.42227779756,33
2,0.07,0.03999999999999865,1.40262283401,28
2,0.08,0.07999999999999931,1.36542697815,24
2,0.09,0.01999999999999938,1.42227779756,22
2,0.1,0.09999999999999937,1.34780585872,19
3,0.01,3.5399999999999885,0.584025754119,54
3,0.02,3.5400000000000005,0.584025754119,27
3,0.03,3.5399999999999965,0.584025754119,18
3,0.04,3.5200000000000005,0.583086337299,13
3,0.05,3.549999999999998,0.583404158495,11
3,0.06,3.5400000000000005,0.584025754119,9
3,0.07,3.5599999999999987,0.582049532349,8
3,0.08,3.5600000000000005,0.582049532349,7
3,0.09,3.539999999999999,0.584025754119,6
3,0.1,3.5000000000000004,0.57927313472,5
4,0.01,3.54000000000001,0.584025754119,46
4,0.02,3.5399999999999996,0.584025754119,23
4,0.03,3.550000000000003,0.583404158495,15
4,0.04,3.5199999999999996,0.583086337299,12
4,0.05,3.5500000000000016,0.583404158495,9
4,0.06,3.5199999999999996,0.583086337299,8
4,0.07,3.510000000000001,0.581535799306,7
4,0.08,3.5199999999999996,0.583086337299,6
4,0.09,3.5500000000000007,0.583404158495,5
4,0.1,3.4999999999999996,0.57927313472,5
5,0.01,5.01,0.513453224468,1
5,0.02,5.02,0.51285237306,1
5,0.03,5,0.512766881689,0
5,0.04,5,0.512766881689,0
5,0.05,5,0.512766881689,0
5,0.06,5,0.512766881689,0
5,0.07,5,0.512766881689,0
5,0.08,5,0.512766881689,0
5,0.09,5,0.512766881689,0
5,0.1,5,0.512766881689,0
6,0.01,6.139999999999997,0.476919426533,14
6,0.02,6.139999999999997,0.476919426533,7
6,0.03,6.150000000000001,0.475733553521,5
6,0.04,6.12,0.473909925971,3
6,0.05,6.1499999999999995,0.475733553521,3
6,0.06,6.119999999999999,0.473909925971,2
6,0.07,6.140000000000001,0.476919426533,2
6,0.08,6.16,0.472748749875,2
6,0.09,6.18,0.46140783849,2
6,0.1,6.1,0.463818352791,1
7,0.01,7.089999999999998,0.453067466402,9
7,0.02,7.079999999999998,0.452198292507,4
7,0.03,7.090000000000001,0.453067466402,3
7,0.04,7.08,0.452198292507,2
7,0.05,7.1,0.451660565648,2
7,0.06,7.06,0.443689810881,1
7,0.07,7.07,0.449064748509,1
7,0.08,7.08,0.452198292507,1
7,0.09,7.09,0.453067466402,1
7,0.1,7.1,0.451660565648,1
8,0.01,7.9300000000000015,0.435470240537,7
8,0.02,7.920000000000002,0.435209085371,4
8,0.03,7.9399999999999995,0.43299439082,2
8,0.04,7.92,0.435209085371,2
8,0.05,7.95,0.427789189337,1
8,0.06,7.94,0.43299439082,1
8,0.07,7.93,0.435470240537,1
8,0.08,7.92,0.435209085371,1
8,0.09,7.91,0.432220499951,1
8,0.1,7.9,0.426531090236,1
9,0.01,8.680000000000007,0.422066355282,32
9,0.02,8.680000000000007,0.422066355282,16
9,0.03,8.670000000000007,0.419624227433,11
9,0.04,8.680000000000007,0.422066355282,8
9,0.05,8.699999999999996,0.417415798365,6
9,0.06,8.699999999999998,0.417415798365,5
9,0.07,8.649999999999999,0.405338752381,5
9,0.08,8.68,0.422066355282,4
9,0.09,8.64,0.393618959522,4
9,0.1,8.700000000000001,0.417415798365,3
10,0.01,10,0.388330897088,0
10,0.02,10,0.388330897088,0
10,0.03,10,0.388330897088,0
10,0.04,10,0.388330897088,0
10,0.05,10,0.388330897088,0
10,0.06,10,0.388330897088,0
10,0.07,10,0.388330897088,0
10,0.08,10,0.388330897088,0
10,0.09,10,0.388330897088,0
10,0.1,10,0.388330897088,0
